label	text	
anger	people get under my skin. Like for example if an entitled customer shows up at my work and  demands to speak to my manager for a simple issue that I can resolve. This happens on almost a daily occurrence and it really makes me ....	
anger	I was driving on the highway and someone cut me off and brake checked me, almost causing a car accident	
anger	someone misunderstands me and takes it out of context	
anger	a child called me a name behind my back after i had told him off due to his behaviour.	
anger	I was driving home from work and an individual pulled out in front of me very abruptly, almost causing me to crash into them.	
anger	I went outside my house to find a dozen large boxes had been delivered by my father in law for a thousand canning jars that we didn't want.	
anger	A nurse in a hospital gave my mother too much insulin and then ran out of her supply the next day, telling my on the phone that we did not bring enough. They did not tell me about the overdose until later that day when I brought in extra.	
anger	the side of my car got sideswiped, leaving a lot of damage which cost a lot of money to repair which wasn't my fault.	
anger	I had my facial reconstruction and was not given any pain meds afterwards due to them not believing that I couldn't swallow and being unwilling to give anything via IV.	
anger	I was too hot, I was unable to find the cable for my work monitor and my VPN log in was not working for work.	
anger	A person close to me belittled my actions	
anger	I realised that someone I trusted completely does not trust me to the same extent	
anger	Someone did not do the shopping when they said they would.	
anger	When the women over the road don’t look after her animals	
anger	a granparent died	
anger	when my friend betrayed me	
anger	My girlfriend went out and got drunk and disappeared for a few hours which was fine for her to do but if I don't answer my phone for a while, it automatically means I'm cheating.	
anger	I am struggling financially and it is not my fault.	
anger	when someone came in at work and wasn't wearing a mask and coughed over my shoulder during the covid-19 pandemic	
anger	I felt ... when people I cared and trusted talked badly about me behind my back. I had told them how much this bothered me before and yet they still did it.	
anger	I was treated unfairly by other people.	
anger	My car didn’t start	
anger	nurses that I work with consistently make it known that they refuse to be vaccinated against COVID-19. Our hospital is in crisis mode due to one of the worst waves of COVID we've ever seen, and yet they refuse to be responsible in their own line of work.	
anger	I felt ... when my friend's girlfriend touched my stuff without permission.	
anger	A manager totally blocked an idea that was for charity	
anger	I felt ... when I walked outside to my garden and saw that deer ate a lot of the plants	
anger	my dad left my family	
anger	Whilst working under high pressure largely keeping  a business afloat single-handedly I was asked for key management data. I took time out to calculate and prepare it, outlined both the maximum, likely and minimum outcomes by a point in time and showed why that was the case, including the details that at each point following the date concerned the outcomes would improve almost exponentially, week on week. After doing so, was told by my colleague that he would report a different, utterly unobtainable figure to the board, because they wouldn't want to hear the actual figure, despite needing to know actual figures for planning and management purposes.	
anger	my brother took something without asking and used half of it	
anger	My co worker who is roughly 20 - 30 years older than me walking away from customers when they come asking me to serve them while she pretends to be working. This happens all the time and I can't do anything as she is older and is respected upon management.	
anger	my child was rude	
anger	when i was young and was sexually assaulted, i was at subway with my friend we biked there and i dont know if you want details but he sexually assaulted me, i did nothing and told no one cause i was young and scaed but now that i am 20 looking back i wish i acted differently, i hope hes dead or in jail	
anger	I feel ... when my mother and father don't understand my depression and anxiety.	
anger	my mother made me feel like a child	
anger	I lost a very heated game of League of Legends	
anger	I felt that my hard work has not been recognised or paid off	
anger	I was teaching someone	
anger	I felt ... when another driver pulled out Infront of me on a very dangerous road and almost caused me to crash	
anger	When my roommates wouldn't let a friend of mine stay there for the night when they had nowhere to sleep and were not accommodating at all	
anger	I wasn't promoted to a supervisor role over a colleague who just started	
anger	I was cheated on.	
anger	A man was walking late at night with his dog off a leash. It ran into my garden and killed my sleeping cat. He walked away without saying or doing anything until he saw me chasing after him down the street with a large kitchen knife.	
anger	my sister's boyfriend broke into her house and hit her in the head with a hammer.	
anger	my partner gaslights me to get money from me for alcohol and cannabis	
anger	I felt ... when I was rejected via email for a job after having completed 4 separate interviews with the company. I felt this way because, up until then, I felt that the process had gone very well, and, having gotten so far, I was very excited at the prospect of getting the job.	
anger	"""Despite severe depression & PTSD, I got a well-paying job & started college- which no one in my family had ever done- & my grandmother, who is my last remaining family member alive, didn't bother to give me even a simple """"Good job"""", I'm proud of you"""", absolutely nothing. She acts like it's nothing, & even talks down to me. I have no idea why she's always been this way towards me & it's incredibly ... & honestly hurtful."""	
anger	someone promised me they would do something, and then when the time came they said they couldn't commit to it anymore. this meant that I could no longer ask someone else to complete said task, which made me feel some ....	
anger	I went to the hospital and met a long queue to see the doctor.	
anger	people belittle me/others (this happens frequently with one of my coworkers and i have no idea why it always makes me so ...)	
anger	I felt ... when someone hit my car a few weeks ago, and then the police listed me as the at fault driver when I am definitely not.	
anger	When my partner didn’t help with kids and just slept in with out a care or consideration	
anger	My line manager micro manages me	
anger	someone mistreated me	
anger	My girlfriend's dog was unwell and she was procrastinating taking him to the vet last year	
anger	Because I've lost some money for a while.	
anger	My ex broke up with me	
anger	"""I felt ... the other day because our fire alarm in the building went off as Tropical Storm Ida came through - we had to stand outside in a torrential downpour. I had my cat with me and she was freaking out as well. My boyfriend told us to go to his car to sit since we were drenched and the rain was not going to stop anytime soon. We got in the car and my cat was still freaking out - my roommate wanted my boyfriend to turn on some music and make it loud. We both told him no because my cat was having trouble with everything going on. Also, she is 17, so she is quite old, so I worry about her stress levels. After we told him no, he then proceeded to sing VERY loudly and when we scowled at him for it, he said """"well she is meowing and stressed either way"""", and he did not care that she was having trouble and that I was trying to calm her down. That made me ...."""	
anger	I was cheated on with my best friend.	
anger	I was watching football	
anger	there was traffic	
anger	When my boyfriend was going through his Instagram followers and clicked on a girls profile and looked at a girls Instagram picture of her butt.	
anger	I was travelling on a country road when a car was pulling out from a side lane, the driver stopped at the junction than proceeded to pull out on front of me. I had to perform an emergency stop  to avoid driving into the car. The driver went down the road and I caught with her at a junction and had strong words.	
anger	I felt ... when my son who has special needs and he was not given then services that he was promised. I was so ... watching him struggle because adults broke their promise to help him	
anger	because I fail to reach anywhere in time.	
anger	because i did not reach my goal in time.	
anger	When someone miss my instruction.	
anger	when some one did not response on my call.	
anger	my friends would hang out without me, i know this shouldn't bother me but unfortunately i can be a very jealous person sometimes, this is something i am working on because i know being ... only effects me not them	
anger	i was punched	
anger	Brexit a few years ago	
anger	somebody stole my jacket	
anger	MY EX ARGUED WITH ME BECASUE I WAS MISUNDERSTOOD	
anger	I was arguing	
anger	my cat chewed through the telephone cable	
anger	I was pushed by my opponent during a netball match.	
anger	A next door neighbour has once again started running generators and power tools.	
anger	some cut me off in traffic	
anger	Someone lied to me and betrayed my trust.	
anger	I was being accused and demonized for things I did not do or characterizations that are not accurate.	
anger	people push my boundaries and attempt to control my way of living.	
anger	My meth head uncle attacked my mother, his sister.	
anger	I fell behind in homework for school	
anger	I felt ... when my partner invalidated my feelings.	
anger	my mom’s boyfriend was arguing with me	
anger	My best friend found out he had been cheated on for over 2 years.	
anger	My girlfriend cheated on me. Because broke my trust	
anger	i felt ... when i got cheated on	
anger	I felt ... when my boyfriend got upset about me going out to a bar with my friends because he doesn't trust me and he has no reason not to	
anger	I felt ... when a woman wasted several hours asking me for product photos, videos, stating she was extremely interested, and proceeded to order it, but then after a few hours stated that her and her husband wanted to save up for something more expensive instead (implying that our products were wrongfully cheap when in fact we price our items significantly lower than our competitors because we don't feel comfortable with taking a higher margin, despite having the exact same quality as competitors 10x our price, if not better). It just felt like I worked this hard on product research, pricing my things at an accessible point for no reason.	
anger	I feel ... when there are messes around the house.	
anger	I felt ... when my sister, after continuously ignoring my clear boundary of entering my private space and home without my knowledge or permission, became ... with me for changing the locks and refusing to give her a key.	
anger	"""I felt ... when my boyfriend did not know how to react when I was in a very depressed state. We got into an argument, and I started to cry. He responded, """"Crying doesn't fix anything."""" His coping mechanisms when he is upset is very different than mine. I like to take some time for myself to recollect my thoughts, while he likes to talk about it immediately."""	
anger	I remember couple of weeks ago while driving, a man hit my car from behind and he didn't bother apologizing or wasn't remorseful towards the situation. I got quite ... because he was trying to put the blame on me and was ... that I almost hit him due to the ... in me.	
anger	I got passed over for a job opportunity. I felt as though the company had wasted my time as they chose an internal applicant.	
anger	My dog bit me	
anger	my laptop was stolen last year	
anger	"""when my mom makes comments about what I eat ( happens often) i know its from her insecurities but she knows i work out everyday and still feels the need to make comments like """"you're going to eeat all that.. didnt you just eat etc)"""	
anger	misgendered	
anger	my ex-partner belittled me	
anger	I was having difficulty in new things	
anger	My mom body-shamed me	
anger	I felt ... when trying to organise my wedding and a guest was being very unhelpful	
anger	I was racially profiled. Because of my skin colour	
anger	I felt ... when the bus was late and I needed to get to work at a certain time. I had to go to another stop and get another bus. When I got on the driver was rude to me.	
anger	When my mom didn’t do my laundry after I asked her to and she forgot	
anger	my friend stood me up	
anger	my neighbour was unbelievably rude and disrespectful on christmas evening of all evenings	
anger	I last felt intense ... when a boy I was seeing (and left a 3 year relationship for) decided we weren't meant to be together after a small disagreement. He then decided to flirt with me for the next several months until he started seeing someone else. He still occasionally does this. His family is incredibly wealthy and I feel that he enjoys dictating situations as if he owns people.	
anger	I felt ... when my mom did something wrong and immature. When I tried to talk to her about how wrong her behaviour was, she gaslight me and played the vicitm.	
anger	I do not feel understood or are under too much pressure	
anger	I felt ... when I seen a woman being racially abused in the street.	
anger	I got jumped at the store and lost all my money	
anger	a work colleague did not fulfil a task that she was supposed to.	
anger	my workplace does not appreciate my hard work and efforts.	
anger	my friend in the passenger's seat would not help with directions when I was driving in a big city with lots of traffic and didn't know where I was going	
anger	I was told I wasn't getting refunded for a paid vacation.	
anger	When I got a speeding ticket when I was right around the corner from my home. I was ... at myself because I didn't realize I was speeding and financially I can't afford to pay a fine right now. Also the cop talked to me in a very belittled manner.	
anger	I misplaced my car keys	
anger	2 of my colleagues went behind my back	
anger	I was having an argument with my dad as I felt he was being irrational.	
anger	i think about the person who ran me over off road driving and hasnt faced any punishment/still does it	
anger	I felt ... when my boyfriend does not plan things for us to do together. A specific time is when my boyfriend suggested earlier in the week we could go out on a walk at the weekend. The weekend came and when I asked him about the walk he advised he had no planned anything. Because this was a pattern of him doing it over and over again I became ... as his lack of preparation made it seem like he did not care.	
anger	made redundant after 10 years doing a job I loved.	
anger	My neighbour accused me of harrassing her when she was harrassing me.	
anger	I  saw someone who used to be a very good friend who completely ignored me	
anger	When my in-laws turned up 2 hours late for a booked restaurant meal and not for the first time either.	
anger	someone moved my personal belongings	
anger	I feel ... when people judge people without getting to know them. I see this often in my job as I work with homeless people and they are often preconceived as waste of spaces from many people. A key event was when I was taking one of these people to an appointment and the person that was leading the appointment looked down their nose at the client.	
anger	I found out my ex partner had been unfaithful.	
anger	My tutor talk to me and treated me like a child when I am an adult	
anger	I found out my daughter was being picked on at school	
anger	I was at my work as a store manager for a fashion retailer. A customer threatened me with physical violence because I wouldn’t refund a garment they she had worn. It wasn’t faulty , she had changed her mind after wearing.	
