text,true_label,predicted_label
"Y'know what I didnt wear this suit for a year because you hated it. Well, guess what? Youre not my girlfriend anymore so...",anger,sadness
i feel mad that you take my toys,anger,anger
@VirginTrains Why do you send me a sales email suggesting that I am procrastinating 'asking out Derek from accounts'?  I am male.,anger,fear
Hello twitter! My next few tweets are going to be a bit gushy.... Look away if you're feeling bilious!!!,anger,joy
Watch the FO not sign anyone. That would be the most dodgers thing ever.,anger,anger
a friend decided to stop speaking with me based on a lie.,anger,anger
i always feel rushed to get down there and rushed to get back,anger,anger
i always feel a little bothered by the historical aspects of thanksgiving but i love that there is a day set aside to be thankful for the people and blessings in my life,anger,anger
i often feel offended when people other fans think i name my son joshua as joshua in josh groban,anger,anger
i feel like id just get annoyed if i had to walk around in it,anger,anger
"waiting for a bus, train or other forms of public transport",boredom,boredom
I didn,boredom,no-emotion
"""Endlessly doomscrolling through social media, then I think to myself """"I need to do something""""""",boredom,sadness
I was having to watch the football,boredom,boredom
watching formula 1 on tv,boredom,no-emotion
I felt ... when i miss any flight.,boredom,sadness
I felt ... because i went on strike due to not getting paid.,boredom,boredom
when I was finishing my last two hours at my office job. I had completed all my tasks for the day and I couldn't start a new one because my boss was gone. I was just sitting at my desk doing nothing and I was painfully ....,boredom,boredom
reading a certain book,boredom,boredom
I felt ... when procrastinating doing school work today,boredom,boredom
I woke up and realized my dog had puked on my bed and it had also got all over the floor,disgust,disgust
when I saw animals in captivity,disgust,disgust
I threw up into my hands.,disgust,disgust
"i got the strawberries out of the fridge and they had gone off, exploded and gone furry.",disgust,surprise
I attempted to eat chicken again after 5 years of vegetarianism. I tried Nandos.,disgust,joy
I felt ... when my job decided to pay me on a part time basis for my full time job because of the effect of Covid-19.,disgust,relief
When my sister was sick and threw up on her floor,disgust,disgust
When my dog ate his poo,disgust,disgust
When I'm not treated fairly at work in my dept.,disgust,anger
Covid cancelled my wedding,disgust,sadness
i decide that picking the easy route would get me nowhere and i feel like other people want me tortured so i follow the blue path,fear,fear
"i misss my phone,",fear,sadness
